,Id,Name,NF_Subgroup__c,NF_Group__c,NF_Region__c,NF_Route__c,NF_Stage_Duration__c,StageName,NF_Stage_Change_Count__c,NF_Days_Through_Closing__c,NF_Days_Through_Qualified__c,Amount,NF_Client_Rev_Mil__c,NF_Client_Size_Employee__c,NF_Rev_T24M_Category__c,MainCompetitors__c,NF_Ratio_Identified_To_Total_Days__c,NF_Ratio_Validated_To_Total_Days__c,NF_Ratio_Qualified_To_Total_Days__c,NF_Deal_Size_Category__c
17,0061N00000VboI0QAJ,5998888,Replacement Parts,Car Accessories,Northeast,Fields Sales,66.0,Closed Won,7.0,47.0,45.0,9544.0,1.0,4.0,3.0,Unknown,0.46723,0.302326,0.179704,1.0
18,0061N00000VboI1QAJ,7924290,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,37.0,Closed Won,6.0,12.0,10.0,15000.0,1.0,1.0,4.0,Unknown,0.12931,0.301724,0.413793,2.0
19,0061N00000VboI2QAJ,8022139,Batteries & Accessories,Car Accessories,Midwest,Other,38.0,Closed Lost,2.0,8.0,8.0,20000.0,1.0,1.0,0.0,Unknown,1.0,0.0,0.0,2.0
20,0061N00000VboI3QAJ,7051821,Garage & Car Care,Car Accessories,Pacific,Telesales,76.0,Closed Lost,2.0,6.0,6.0,20000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,2.0
21,0061N00000VboI4QAJ,6039787,Car Electronics,Car Electronics,Midwest,Reseller,23.0,Closed Won,3.0,4.0,4.0,10000.0,1.0,1.0,1.0,Unknown,0.0,1.0,0.0,2.0
22,0061N00000VboI5QAJ,6669777,Tires & Wheels,Tires & Wheels,Northeast,Fields Sales,42.0,Closed Won,5.0,22.0,22.0,0.0,5.0,3.0,2.0,None,0.074419,0.083721,0.84186,1.0
23,0061N00000VboI6QAJ,9447785,Garage & Car Care,Car Accessories,Midwest,Reseller,23.0,Closed Won,1.0,0.0,0.0,6440.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,1.0
24,0061N00000VboI7QAJ,8202970,Interior Accessories,Car Accessories,Northwest,Reseller,37.0,Closed Won,3.0,3.0,3.0,67652.0,1.0,1.0,0.0,Unknown,0.0,0.034483,0.965517,4.0
25,0061N00000VboI8QAJ,7615630,Garage & Car Care,Car Accessories,Midwest,Reseller,60.0,Closed Won,2.0,1.0,1.0,4580.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,1.0
26,0061N00000VboI9QAJ,8245371,Garage & Car Care,Car Accessories,Mid-Atlantic,Reseller,37.0,Closed Won,2.0,1.0,1.0,2500.0,1.0,1.0,1.0,Unknown,1.0,0.0,0.0,1.0
27,0061N00000VboIAQAZ,9679609,Shelters & RV,Performance & Non-auto,Southeast,Fields Sales,14.0,Closed Lost,2.0,1.0,1.0,100000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,5.0
28,0061N00000VboIBQAZ,8127963,Motorcycle Parts,Performance & Non-auto,Northwest,Reseller,42.0,Closed Won,1.0,0.0,0.0,22480.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,2.0
29,0061N00000VboICQAZ,7800813,Performance Parts,Performance & Non-auto,Mid-Atlantic,Fields Sales,0.0,Closed Lost,5.0,53.0,53.0,280000.0,1.0,1.0,0.0,Unknown,0.04943,0.41635,0.534221,6.0
30,0061N00000VboIDQAZ,7006800,Replacement Parts,Car Accessories,Midwest,Reseller,84.0,Closed Won,1.0,0.0,0.0,14000.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,2.0
31,0061N00000VboIEQAZ,5971050,Garage & Car Care,Car Accessories,Southwest,Reseller,77.0,Closed Lost,4.0,47.0,47.0,15000.0,3.0,2.0,0.0,Unknown,0.0,1.0,0.0,2.0
32,0061N00000VboIFQAZ,7346928,Interior Accessories,Car Accessories,Southeast,Fields Sales,58.0,Closed Won,3.0,13.0,13.0,44000.0,1.0,1.0,0.0,Unknown,0.0,0.527559,0.472441,3.0
33,0061N00000VboIGQAZ,7935097,Shelters & RV,Performance & Non-auto,Northwest,Fields Sales,16.0,Closed Lost,4.0,32.0,32.0,300000.0,1.0,1.0,0.0,Unknown,0.274143,0.345794,0.380062,6.0
34,0061N00000VboIHQAZ,7504002,Interior Accessories,Car Accessories,Pacific,Fields Sales,14.0,Closed Lost,2.0,0.0,0.0,60000.0,1.0,2.0,0.0,Unknown,0.0,0.0,0.0,4.0
35,0061N00000VboIIQAZ,9529231,Shelters & RV,Performance & Non-auto,Midwest,Reseller,14.0,Closed Won,2.0,6.0,6.0,28000.0,1.0,1.0,1.0,Unknown,0.0,1.0,0.0,3.0
36,0061N00000VboIJQAZ,9433675,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,21.0,Closed Lost,2.0,2.0,2.0,5000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,1.0
37,0061N00000VboIKQAZ,8100583,Replacement Parts,Car Accessories,Midwest,Reseller,37.0,Closed Lost,3.0,6.0,6.0,40000.0,1.0,1.0,0.0,Unknown,0.0,0.111111,0.888889,3.0
38,0061N00000VboILQAZ,6577511,Batteries & Accessories,Car Accessories,Midwest,Other,42.0,Closed Won,4.0,1.0,1.0,30.0,4.0,5.0,1.0,None,0.142857,0.857143,0.0,1.0
39,0061N00000VboIMQAZ,8373742,Shelters & RV,Performance & Non-auto,Pacific,Reseller,29.0,Closed Lost,2.0,4.0,4.0,40072.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,3.0
40,0061N00000VboINQAZ,8437624,Motorcycle Parts,Performance & Non-auto,Northwest,Reseller,18.0,Closed Lost,2.0,13.0,13.0,8433.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,1.0
41,0061N00000VboIOQAZ,8304338,Garage & Car Care,Car Accessories,Pacific,Telesales,21.0,Closed Lost,3.0,15.0,15.0,85000.0,1.0,1.0,0.0,Unknown,0.0,0.691781,0.308219,4.0
42,0061N00000VboIPQAZ,8085262,Interior Accessories,Car Accessories,Mid-Atlantic,Fields Sales,16.0,Closed Lost,2.0,27.0,27.0,50000.0,1.0,1.0,0.0,Unknown,1.0,0.0,0.0,4.0
43,0061N00000VboIQQAZ,7445017,Shelters & RV,Performance & Non-auto,Northwest,Fields Sales,62.0,Closed Lost,3.0,4.0,4.0,100000.0,5.0,5.0,0.0,Known,0.0,0.190476,0.809524,5.0
44,0061N00000VboIRQAZ,7216314,Garage & Car Care,Car Accessories,Midwest,Reseller,74.0,Closed Won,2.0,1.0,1.0,156.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,1.0
45,0061N00000VboISQAZ,9412188,Garage & Car Care,Car Accessories,Southeast,Reseller,4.0,Closed Lost,3.0,20.0,20.0,25000.0,1.0,1.0,2.0,None,0.0,0.768473,0.231527,3.0
46,0061N00000VboITQAZ,6245851,Garage & Car Care,Car Accessories,Southwest,Reseller,62.0,Closed Lost,5.0,52.0,52.0,3500.0,3.0,2.0,0.0,Unknown,0.0,0.001931,0.998069,1.0
47,0061N00000VboIUQAZ,9626916,Motorcycle Parts,Performance & Non-auto,Midwest,Other,16.0,Closed Won,1.0,0.0,0.0,7111.0,1.0,1.0,0.0,None,0.0,0.0,0.0,1.0
48,0061N00000VboIVQAZ,9742139,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,11.0,Closed Won,2.0,2.0,2.0,4186.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,1.0
49,0061N00000VboIWQAZ,6649815,Replacement Parts,Car Accessories,Midwest,Fields Sales,77.0,Closed Lost,3.0,20.0,20.0,100000.0,4.0,4.0,0.0,Known,0.152709,0.847291,0.0,5.0
50,0061N00000VboIXQAZ,6725948,Garage & Car Care,Car Accessories,Southwest,Reseller,95.0,Closed Won,2.0,0.0,0.0,5500.0,1.0,3.0,0.0,Unknown,0.0,1.0,0.0,1.0
51,0061N00000VboIYQAZ,8472674,Garage & Car Care,Car Accessories,Midwest,Reseller,29.0,Closed Won,1.0,0.0,0.0,672.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,1.0
52,0061N00000VboIZQAZ,5970507,Motorcycle Parts,Performance & Non-auto,Pacific,Other,91.0,Closed Lost,2.0,34.0,34.0,160000.0,5.0,3.0,0.0,Known,0.0,1.0,0.0,5.0
53,0061N00000VboIaQAJ,7732051,Replacement Parts,Car Accessories,Midwest,Reseller,53.0,Closed Won,3.0,1.0,1.0,49500.0,1.0,1.0,3.0,Unknown,0.0,1.0,0.0,3.0
54,0061N00000VboIbQAJ,7557757,Replacement Parts,Car Accessories,Mid-Atlantic,Reseller,40.0,Closed Won,12.0,13.0,12.0,15000.0,1.0,1.0,0.0,Known,0.090909,0.015152,0.772727,2.0
55,0061N00000VboIcQAJ,5552437,Exterior Accessories,Car Accessories,Northeast,Reseller,41.0,Closed Won,5.0,13.0,13.0,5000.0,2.0,2.0,0.0,Known,0.0,0.552,0.448,1.0
56,0061N00000VboIdQAJ,7601782,Replacement Parts,Car Accessories,Southeast,Fields Sales,54.0,Closed Lost,2.0,6.0,6.0,125000.0,1.0,1.0,0.0,None,1.0,0.0,0.0,5.0
57,0061N00000VboIeQAJ,9500967,Exterior Accessories,Car Accessories,Midwest,Fields Sales,18.0,Closed Won,3.0,3.0,1.0,6000.0,1.0,1.0,0.0,Unknown,0.0,0.382353,0.0,1.0
58,0061N00000VboIfQAJ,7493739,Garage & Car Care,Car Accessories,Mid-Atlantic,Reseller,65.0,Closed Won,1.0,0.0,0.0,3312.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,1.0
59,0061N00000VboIgQAJ,6741098,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,62.0,Closed Won,2.0,32.0,32.0,21702.0,2.0,2.0,0.0,Unknown,0.0,1.0,0.0,2.0
60,0061N00000VboIhQAJ,6103690,Exterior Accessories,Car Accessories,Midwest,Reseller,91.0,Closed Lost,4.0,29.0,29.0,15000.0,3.0,2.0,0.0,Unknown,0.0,1.0,0.0,2.0
61,0061N00000VboIiQAJ,8368683,Replacement Parts,Car Accessories,Pacific,Fields Sales,10.0,Closed Lost,2.0,24.0,24.0,294500.0,1.0,1.0,0.0,Unknown,1.0,0.0,0.0,6.0
62,0061N00000VboIjQAJ,9619309,Exterior Accessories,Car Accessories,Midwest,Telesales,1.0,Closed Won,3.0,16.0,16.0,220000.0,1.0,1.0,0.0,Unknown,0.0,0.3,0.7,5.0
63,0061N00000VboIkQAJ,6652527,Exterior Accessories,Car Accessories,Midwest,Reseller,82.0,Closed Lost,2.0,15.0,15.0,12250.0,2.0,2.0,0.0,Unknown,0.0,1.0,0.0,2.0
64,0061N00000VboIlQAJ,6636511,Replacement Parts,Car Accessories,Midwest,Reseller,70.0,Closed Won,3.0,29.0,20.0,9700.0,3.0,3.0,1.0,Known,0.0,0.685315,0.0,1.0
65,0061N00000VboImQAJ,7561313,Exterior Accessories,Car Accessories,Pacific,Fields Sales,57.0,Closed Won,4.0,6.0,5.0,50000.0,1.0,1.0,2.0,None,0.0,0.321429,0.607143,4.0
66,0061N00000VboInQAJ,7020190,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,35.0,Closed Lost,2.0,49.0,49.0,15337.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,2.0
67,0061N00000VboIoQAJ,7447943,Batteries & Accessories,Car Accessories,Northwest,Fields Sales,65.0,Closed Lost,2.0,2.0,2.0,12048.0,1.0,4.0,0.0,Known,0.0,1.0,0.0,2.0
68,0061N00000VboIpQAJ,7055352,Shelters & RV,Performance & Non-auto,Pacific,Other,82.0,Closed Won,2.0,0.0,0.0,27000.0,5.0,4.0,0.0,Unknown,0.0,0.0,0.0,3.0
69,0061N00000VboIqQAJ,7430465,Garage & Car Care,Car Accessories,Northeast,Reseller,37.0,Closed Won,2.0,0.0,0.0,29205.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,3.0
70,0061N00000VboIrQAJ,9397948,Towing & Hitches,Car Accessories,Midwest,Fields Sales,23.0,Closed Lost,2.0,2.0,2.0,488000.0,1.0,1.0,0.0,Unknown,1.0,0.0,0.0,6.0
71,0061N00000VboIsQAJ,6820485,Garage & Car Care,Car Accessories,Southeast,Reseller,50.0,Closed Won,4.0,15.0,15.0,45000.0,1.0,1.0,0.0,Unknown,0.0,0.258503,0.741497,3.0
72,0061N00000VboItQAJ,8249162,Garage & Car Care,Car Accessories,Midwest,Fields Sales,37.0,Closed Won,3.0,1.0,0.0,21000.0,1.0,1.0,1.0,Known,0.0,0.0,0.0,2.0
73,0061N00000VboIuQAJ,6919298,Interior Accessories,Car Accessories,Midwest,Fields Sales,79.0,Closed Lost,2.0,8.0,8.0,50000.0,1.0,1.0,0.0,Unknown,1.0,0.0,0.0,4.0
74,0061N00000VboIvQAJ,7313671,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,35.0,Closed Lost,5.0,38.0,38.0,30000.0,2.0,2.0,0.0,Unknown,0.055703,0.02122,0.923077,3.0
75,0061N00000VboIwQAJ,5940690,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,89.0,Closed Won,5.0,12.0,11.0,71554.0,3.0,1.0,0.0,Unknown,0.0,0.365854,0.544715,4.0
76,0061N00000VboIxQAJ,7788412,Exterior Accessories,Car Accessories,Northeast,Reseller,16.0,Closed Lost,3.0,37.0,37.0,20000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,2.0
77,0061N00000VboIyQAJ,6878185,Batteries & Accessories,Car Accessories,Southwest,Reseller,82.0,Closed Won,3.0,6.0,2.0,466000.0,1.0,5.0,0.0,Unknown,0.0,0.321429,0.0,6.0
78,0061N00000VboIzQAJ,7935220,Exterior Accessories,Car Accessories,Southwest,Fields Sales,46.0,Closed Won,4.0,2.0,2.0,37000.0,1.0,1.0,4.0,Unknown,0.0,0.0,1.0,3.0
79,0061N00000VboJ0QAJ,8002860,Garage & Car Care,Car Accessories,Midwest,Fields Sales,16.0,Closed Lost,3.0,30.0,30.0,102000.0,1.0,1.0,0.0,Unknown,0.28,0.72,0.0,5.0
80,0061N00000VboJ1QAJ,7597737,Motorcycle Parts,Performance & Non-auto,Southeast,Reseller,58.0,Closed Won,3.0,3.0,3.0,35000.0,1.0,1.0,0.0,Unknown,0.0,0.612903,0.387097,3.0
81,0061N00000VboJ2QAJ,6643163,Motorcycle Parts,Performance & Non-auto,Mid-Atlantic,Reseller,44.0,Closed Lost,4.0,53.0,53.0,50000.0,5.0,5.0,4.0,Unknown,0.110902,0.889098,0.0,4.0
82,0061N00000VboJ3QAJ,9534932,Towing & Hitches,Car Accessories,Northwest,Other,19.0,Closed Won,3.0,1.0,1.0,58238.0,1.0,1.0,4.0,None,0.5,0.0,0.5,4.0
83,0061N00000VboJ4QAJ,7573077,Exterior Accessories,Car Accessories,Midwest,Fields Sales,58.0,Closed Lost,4.0,4.0,4.0,100000.0,1.0,1.0,0.0,Known,0.8,0.2,0.0,5.0
84,0061N00000VboJ5QAJ,6267166,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,45.0,Closed Lost,4.0,69.0,69.0,50000.0,5.0,1.0,0.0,None,0.056934,0.118248,0.824818,4.0
85,0061N00000VboJ6QAJ,7535128,Performance Parts,Performance & Non-auto,Northeast,Fields Sales,43.0,Closed Lost,3.0,20.0,20.0,75000.0,1.0,5.0,0.0,Unknown,0.116162,0.883838,0.0,4.0
86,0061N00000VboJ7QAJ,8279181,Exterior Accessories,Car Accessories,Southeast,Reseller,35.0,Closed Won,3.0,2.0,2.0,6700.0,1.0,1.0,0.0,Unknown,0.0,0.142857,0.857143,1.0
87,0061N00000VboJ8QAJ,6564577,Exterior Accessories,Car Accessories,Northwest,Reseller,85.0,Closed Lost,4.0,15.0,15.0,423684.0,1.0,1.0,0.0,Unknown,0.0,0.24183,0.75817,6.0
88,0061N00000VboJ9QAJ,8533006,Motorcycle Parts,Performance & Non-auto,Southeast,Reseller,18.0,Closed Won,2.0,9.0,9.0,25000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,3.0
89,0061N00000VboJAQAZ,9914001,Garage & Car Care,Car Accessories,Midwest,Reseller,7.0,Closed Won,1.0,0.0,0.0,6400.0,1.0,1.0,1.0,Unknown,0.0,0.0,0.0,1.0
90,0061N00000VboJBQAZ,5360208,Replacement Parts,Car Accessories,Northeast,Reseller,11.0,Closed Lost,8.0,46.0,46.0,60000.0,3.0,2.0,0.0,Known,0.361842,0.041667,0.596491,4.0
91,0061N00000VboJCQAZ,6708511,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,70.0,Closed Lost,4.0,25.0,25.0,103000.0,3.0,1.0,0.0,Known,0.325301,0.116466,0.558233,5.0
92,0061N00000VboJDQAZ,7158031,Replacement Parts,Car Accessories,Northeast,Fields Sales,47.0,Closed Lost,6.0,32.0,32.0,150000.0,3.0,4.0,0.0,Known,0.453968,0.257143,0.288889,5.0
93,0061N00000VboJEQAZ,8318563,Motorcycle Parts,Performance & Non-auto,Southeast,Reseller,9.0,Closed Lost,5.0,27.0,27.0,31000.0,1.0,1.0,0.0,Known,0.0,0.589552,0.410448,3.0
94,0061N00000VboJFQAZ,6355889,Motorcycle Parts,Performance & Non-auto,Northwest,Fields Sales,84.0,Closed Lost,3.0,26.0,26.0,450000.0,3.0,3.0,0.0,Known,0.292969,0.707031,0.0,6.0
95,0061N00000VboJGQAZ,9418389,Garage & Car Care,Car Accessories,Mid-Atlantic,Reseller,14.0,Closed Won,2.0,10.0,10.0,13000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,2.0
96,0061N00000VboJHQAZ,8133081,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,42.0,Closed Won,1.0,0.0,0.0,11626.0,1.0,1.0,4.0,None,0.0,0.0,0.0,2.0
97,0061N00000VboJIQAZ,8003490,Shelters & RV,Performance & Non-auto,Northeast,Reseller,29.0,Closed Won,9.0,11.0,10.0,46135.0,1.0,1.0,2.0,Known,0.0,0.763636,0.1,3.0
98,0061N00000VboJJQAZ,6904122,Shelters & RV,Performance & Non-auto,Southwest,Reseller,73.0,Closed Won,2.0,14.0,14.0,18000.0,4.0,3.0,0.0,Unknown,0.0,1.0,0.0,2.0
99,0061N00000VboJKQAZ,6073849,Exterior Accessories,Car Accessories,Northeast,Fields Sales,73.0,Closed Lost,5.0,13.0,13.0,110000.0,3.0,1.0,0.0,Known,0.007576,0.992424,0.0,5.0
100,0061N00000VboJLQAZ,9544529,Exterior Accessories,Car Accessories,Northeast,Telesales,18.0,Closed Won,2.0,2.0,2.0,23680.0,1.0,1.0,0.0,None,0.0,0.0,1.0,2.0
101,0061N00000VboJMQAZ,8318223,Batteries & Accessories,Car Accessories,Northeast,Fields Sales,34.0,Closed Lost,2.0,1.0,1.0,35000.0,1.0,1.0,0.0,Unknown,0.0,0.0,1.0,3.0
102,0061N00000VboJNQAZ,8539909,Exterior Accessories,Car Accessories,Pacific,Fields Sales,11.0,Closed Lost,2.0,16.0,16.0,75000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,4.0
103,0061N00000VboJOQAZ,6067668,Exterior Accessories,Car Accessories,Northwest,Reseller,23.0,Closed Won,4.0,9.0,9.0,15060.0,1.0,1.0,1.0,Unknown,0.0,0.010753,0.989247,2.0
104,0061N00000VboJPQAZ,6849324,Exterior Accessories,Car Accessories,Midwest,Fields Sales,85.0,Closed Lost,3.0,4.0,4.0,300000.0,1.0,1.0,0.0,None,0.0,0.219512,0.780488,6.0
105,0061N00000VboJQQAZ,6031368,Shelters & RV,Performance & Non-auto,Northeast,Fields Sales,89.0,Closed Lost,4.0,33.0,33.0,220000.0,4.0,1.0,0.0,Known,0.062874,0.146707,0.790419,5.0
106,0061N00000VboJRQAZ,6590077,Replacement Parts,Car Accessories,Northwest,Reseller,49.0,Closed Won,4.0,26.0,26.0,34367.0,1.0,1.0,1.0,Unknown,0.0,0.968992,0.031008,3.0
107,0061N00000VboJSQAZ,9559157,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,8.0,Closed Won,3.0,10.0,10.0,47.0,1.0,1.0,0.0,Unknown,0.627451,0.372549,0.0,1.0
108,0061N00000VboJTQAZ,7981777,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,33.0,Closed Lost,3.0,10.0,10.0,101000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,5.0
109,0061N00000VboJUQAZ,7583217,Garage & Car Care,Car Accessories,Northwest,Reseller,54.0,Closed Lost,2.0,8.0,8.0,10000.0,1.0,1.0,0.0,Known,0.0,1.0,0.0,2.0
110,0061N00000VboJVQAZ,7434483,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,45.0,Closed Lost,2.0,22.0,22.0,6134.0,1.0,1.0,0.0,Unknown,1.0,0.0,0.0,1.0
111,0061N00000VboJWQAZ,7135682,Motorcycle Parts,Performance & Non-auto,Southeast,Reseller,72.0,Closed Lost,6.0,6.0,1.0,28000.0,1.0,1.0,0.0,Unknown,0.109375,0.015625,0.015625,3.0
112,0061N00000VboJXQAZ,9898358,Garage & Car Care,Car Accessories,Southeast,Reseller,7.0,Closed Won,2.0,1.0,1.0,2000.0,1.0,1.0,0.0,None,0.0,1.0,0.0,1.0
113,0061N00000VboJYQAZ,9843484,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,5.0,Closed Won,3.0,4.0,3.0,100000.0,1.0,1.0,4.0,Unknown,0.659091,0.0,0.0,5.0
114,0061N00000VboJZQAZ,9814819,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,7.0,Closed Lost,3.0,3.0,3.0,30000.0,1.0,1.0,0.0,Unknown,0.21875,0.78125,0.0,3.0
115,0061N00000VboJaQAJ,7459503,Towing & Hitches,Car Accessories,Southeast,Reseller,37.0,Closed Won,6.0,29.0,11.0,20000.0,1.0,1.0,0.0,Unknown,0.0,0.291096,0.092466,2.0
116,0061N00000VboJbQAJ,7011298,Motorcycle Parts,Performance & Non-auto,Southwest,Reseller,73.0,Closed Won,2.0,10.0,10.0,5932.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,1.0
117,0061N00000VboJcQAJ,7500202,Towing & Hitches,Car Accessories,Pacific,Other,59.0,Closed Won,4.0,3.0,3.0,12179.0,2.0,1.0,0.0,None,0.0,0.0,1.0,2.0
118,0061N00000VboJdQAJ,8519415,Replacement Parts,Car Accessories,Northwest,Fields Sales,17.0,Closed Lost,2.0,0.0,0.0,150000.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,5.0
119,0061N00000VboJeQAJ,9626192,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,16.0,Closed Won,1.0,0.0,0.0,308.0,1.0,1.0,4.0,None,0.0,0.0,0.0,1.0
120,0061N00000VboJfQAJ,9914000,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,7.0,Closed Won,1.0,0.0,0.0,4015.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,1.0
121,0061N00000VboJgQAJ,7245923,Motorcycle Parts,Performance & Non-auto,Northeast,Reseller,41.0,Closed Won,4.0,1.0,0.0,18000.0,2.0,3.0,0.0,Unknown,0.0,0.090909,0.0,2.0
122,0061N00000VboJhQAJ,4538348,Tires & Wheels,Tires & Wheels,Northwest,Fields Sales,54.0,Closed Lost,8.0,128.0,121.0,700000.0,1.0,1.0,0.0,Unknown,0.217018,0.403591,0.320062,7.0
123,0061N00000VboJiQAJ,8503994,Exterior Accessories,Car Accessories,Mid-Atlantic,Fields Sales,13.0,Closed Won,3.0,1.0,1.0,5000.0,1.0,1.0,3.0,Unknown,0.0,0.0,1.0,1.0
