,Id,Name,NF_Stage_Duration__c,StageName,NF_Stage_Change_Count__c,NF_Days_Through_Closing__c,NF_Days_Through_Qualified__c,Amount,NF_Client_Rev_Mil__c,NF_Client_Size_Employee__c,NF_Rev_T24M_Category__c,NF_Ratio_Identified_To_Total_Days__c,NF_Ratio_Validated_To_Total_Days__c,NF_Ratio_Qualified_To_Total_Days__c,NF_Deal_Size_Category__c,NF_Subgroup__c_Batteries & Accessories,NF_Subgroup__c_Car Electronics,NF_Subgroup__c_Exterior Accessories,NF_Subgroup__c_Garage & Car Care,NF_Subgroup__c_Interior Accessories,NF_Subgroup__c_Motorcycle Parts,NF_Subgroup__c_Performance Parts,NF_Subgroup__c_Replacement Parts,NF_Subgroup__c_Shelters & RV,NF_Subgroup__c_Tires & Wheels,NF_Subgroup__c_Towing & Hitches,NF_Group__c_Car Accessories,NF_Group__c_Car Electronics,NF_Group__c_Performance & Non-auto,NF_Group__c_Tires & Wheels,NF_Region__c_Mid-Atlantic,NF_Region__c_Midwest,NF_Region__c_Northeast,NF_Region__c_Northwest,NF_Region__c_Pacific,NF_Region__c_Southeast,NF_Region__c_Southwest,NF_Route__c_Fields Sales,NF_Route__c_Other,NF_Route__c_Reseller,NF_Route__c_Telecoverage,NF_Route__c_Telesales,MainCompetitors__c_Known,MainCompetitors__c_None,MainCompetitors__c_Unknown
69,0061N00000VboIqQAJ,7430465,0.293650793651,1.0,0.0625,0.0,0.0,0.029205,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
70,0061N00000VboIrQAJ,9397948,0.18253968254,0.0,0.0625,0.0109289617486,0.0109289617486,0.488,0.0,0.0,0.0,0.69314718056,0.0,0.0,0.833333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
71,0061N00000VboIsQAJ,6820485,0.396825396825,1.0,0.1875,0.0819672131148,0.0819672131148,0.045,0.0,0.0,0.0,0.0,0.229922919381,0.55474508817,0.333333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
72,0061N00000VboItQAJ,8249162,0.293650793651,1.0,0.125,0.00546448087432,0.0,0.021,0.0,0.0,0.25,0.0,0.0,0.0,0.166666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
73,0061N00000VboIuQAJ,6919298,0.626984126984,0.0,0.0625,0.0437158469945,0.0437158469945,0.05,0.0,0.0,0.0,0.69314718056,0.0,0.0,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
74,0061N00000VboIvQAJ,7313671,0.277777777778,0.0,0.25,0.207650273224,0.207650273224,0.03,0.25,0.25,0.0,0.0542068957259,0.0209979909956,0.653926507407,0.333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
75,0061N00000VboIwQAJ,5940690,0.706349206349,1.0,0.25,0.0655737704918,0.0601092896175,0.071554,0.5,0.0,0.0,0.0,0.311779874031,0.434839427314,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
76,0061N00000VboIxQAJ,7788412,0.126984126984,0.0,0.125,0.20218579235,0.20218579235,0.02,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
77,0061N00000VboIyQAJ,6878185,0.650793650794,1.0,0.125,0.0327868852459,0.0109289617486,0.466,0.0,1.0,0.0,0.0,0.278713726793,0.0,0.833333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
78,0061N00000VboIzQAJ,7935220,0.365079365079,1.0,0.1875,0.0109289617486,0.0109289617486,0.037,0.0,0.0,1.0,0.0,0.0,0.69314718056,0.333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
79,0061N00000VboJ0QAJ,8002860,0.126984126984,0.0,0.125,0.16393442623,0.16393442623,0.102,0.0,0.0,0.0,0.246860077932,0.542324290825,0.0,0.666666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
80,0061N00000VboJ1QAJ,7597737,0.460317460317,1.0,0.125,0.016393442623,0.016393442623,0.035,0.0,0.0,0.0,0.0,0.478035660943,0.327213073999,0.333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
81,0061N00000VboJ2QAJ,6643163,0.349206349206,0.0,0.1875,0.289617486339,0.289617486339,0.05,1.0,1.0,1.0,0.105172297946,0.636099466475,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
82,0061N00000VboJ3QAJ,9534932,0.150793650794,1.0,0.125,0.00546448087432,0.00546448087432,0.058238,0.0,0.0,1.0,0.405465108108,0.0,0.405465108108,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
83,0061N00000VboJ4QAJ,7573077,0.460317460317,0.0,0.1875,0.0218579234973,0.0218579234973,0.1,0.0,0.0,0.0,0.587786664902,0.182321556794,0.0,0.666666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
84,0061N00000VboJ5QAJ,6267166,0.357142857143,0.0,0.1875,0.377049180328,0.377049180328,0.05,1.0,0.0,0.0,0.0553722640682,0.11176317482,0.601480256034,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
