Random Num,NF_Opportunity,Close Date,Opportunity Name,NF_Subgroup,NF_Group,NF_Region,NF_Route,NF_Stage_Duration,Stage,NF_Stage_Change_Count,NF_Days_Through_Closing,NF_Days_Through_Qualified,Amount,NF_Client_Rev_Mil,NF_Client_Size_Employee,NF_Rev_T24M_Category,Main Compeitor(s),NF_Ratio_Identified_To_Total_Days,NF_Ratio_Validated_To_Total_Days,NF_Ratio_Qualified_To_Total_Days,NF_Deal_Size_Category
29,1,1/1/2018,8026602,Shelters & RV,Performance & Non-auto,Southeast,Fields Sales,26,Closed Lost,2,19,19,30000,1,1,0,Unknown,0,1,0,3
31,1,1/1/2018,7377539,Garage & Car Care,Car Accessories,Midwest,Reseller,70,Closed Won,1,0,0,5650,1,1,0,Unknown,0,0,0,1
33,1,1/1/2018,7506278,Batteries & Accessories,Car Accessories,Midwest,Reseller,64,Closed Lost,2,0,0,10000,1,4,0,Unknown,0,0,0,2
34,1,1/1/2018,7538528,Performance Parts,Performance & Non-auto,Midwest,Reseller,63,Closed Won,1,0,0,11200,1,1,0,Unknown,0,0,0,2
35,1,1/1/2018,8138852,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,32,Closed Lost,2,9,9,80000,1,1,0,Unknown,1,0,0,4
36,1,1/1/2018,8208398,Shelters & RV,Performance & Non-auto,Mid-Atlantic,Reseller,37,Closed Lost,2,3,3,50000,1,1,2,Unknown,0,0,1,4
37,1,1/1/2018,8318332,Performance Parts,Performance & Non-auto,Southwest,Fields Sales,10,Closed Won,4,1,1,3000,1,1,0,Known,0.272727,0,0.727273,1
38,1,1/1/2018,5679931,Shelters & RV,Performance & Non-auto,Northeast,Fields Sales,91,Closed Lost,4,47,47,200000,5,1,0,Unknown,0.144374,0.18896,0.666667,5
38,1,1/1/2018,7633751,Garage & Car Care,Car Accessories,Northwest,Reseller,44,Closed Lost,2,16,16,10000,1,1,0,Unknown,0,1,0,2
39,1,1/1/2018,6055478,Motorcycle Parts,Performance & Non-auto,Southwest,Reseller,41,Closed Lost,5,79,79,100000,1,1,0,Unknown,0.114504,0.885496,0,5
39,1,1/1/2018,9561404,Exterior Accessories,Car Accessories,Midwest,Reseller,18,Closed Won,1,0,0,40000,1,1,0,Unknown,0,0,0,3
42,1,1/1/2018,9701440,Exterior Accessories,Car Accessories,Northeast,Reseller,3,Closed Lost,2,11,11,50000,1,1,0,Unknown,0,1,0,4
42,1,1/1/2018,8157881,Batteries & Accessories,Car Accessories,Southwest,Fields Sales,31,Closed Won,3,10,7,96974,1,1,0,Unknown,0.696078,0,0,4
43,1,1/1/2018,6751332,Shelters & RV,Performance & Non-auto,Southeast,Fields Sales,1,Closed Lost,8,93,93,295000,1,3,0,Unknown,0.544865,0.455135,0,6
43,1,1/1/2018,6861885,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,82,Closed Won,2,6,6,111948,5,5,0,Unknown,0,1,0,5
43,1,1/1/2018,6784971,Replacement Parts,Car Accessories,Midwest,Reseller,92,Closed Won,1,0,0,15000,1,1,0,Unknown,0,0,0,2
44,1,1/1/2018,8531954,Batteries & Accessories,Car Accessories,Southeast,Reseller,20,Closed Lost,2,8,8,50000,1,1,0,Unknown,1,0,0,4
44,1,1/1/2018,7988264,Exterior Accessories,Car Accessories,Northwest,Reseller,38,Closed Won,4,8,8,6410,1,1,3,Unknown,0,0.417722,0.582278,1
44,1,1/1/2018,6722765,Exterior Accessories,Car Accessories,Midwest,Reseller,95,Closed Won,1,0,0,20000,1,1,0,Unknown,0,0,0,2
44,1,1/1/2018,6973603,Exterior Accessories,Car Accessories,Mid-Atlantic,Reseller,85,Closed Won,1,0,0,21739,3,1,0,Unknown,0,0,0,2
45,1,1/1/2018,6665631,Motorcycle Parts,Performance & Non-auto,Mid-Atlantic,Fields Sales,49,Closed Lost,2,48,48,80000,4,5,0,Known,0,1,0,4
45,1,1/1/2018,9602957,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,6,Closed Won,3,11,11,230017,1,1,0,Unknown,0.280702,0.719298,0,5
46,1,1/1/2018,8325464,Interior Accessories,Car Accessories,Pacific,Reseller,16,Closed Lost,4,18,18,31002,1,1,0,Unknown,1,0,0,3
46,1,1/1/2018,7941469,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,48,Closed Won,1,0,0,12000,1,1,1,None,0,0,0,2
48,1,1/1/2018,9715322,Shelters & RV,Performance & Non-auto,Northwest,Fields Sales,8,Closed Won,3,6,6,58139,1,1,0,Unknown,0.561404,0.438596,0,4
49,1,1/1/2018,7054746,Shelters & RV,Performance & Non-auto,Midwest,Reseller,70,Closed Won,3,13,13,25000,3,1,0,Unknown,0,0.008,0.992,3
49,1,1/1/2018,9548726,Shelters & RV,Performance & Non-auto,Midwest,Reseller,19,Closed Won,1,0,0,154334,1,1,0,Unknown,0,0,0,5
49,1,1/1/2018,6719025,Replacement Parts,Car Accessories,Northwest,Reseller,67,Closed Won,4,25,25,34834,5,4,1,Unknown,0,1,0,3
50,1,1/1/2018,7782223,Batteries & Accessories,Car Accessories,Pacific,Reseller,35,Closed Lost,3,19,19,50000,1,1,0,None,0,1,0,4
50,1,1/1/2018,7462941,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,66,Closed Won,1,0,0,9900,3,4,1,Unknown,0,0,0,1
50,1,1/1/2018,8417906,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,32,Closed Won,1,0,0,10000,1,1,0,Unknown,0,0,0,2
54,1,1/1/2018,7289150,Garage & Car Care,Car Accessories,Pacific,Telesales,69,Closed Lost,2,5,5,150000,1,1,0,Unknown,0,1,0,5
56,1,1/1/2018,7278422,Towing & Hitches,Car Accessories,Northwest,Fields Sales,38,Closed Lost,4,36,36,600000,4,1,0,Unknown,0.171831,0.04507,0.783099,7
57,1,1/1/2018,9870781,Exterior Accessories,Car Accessories,Northwest,Fields Sales,2,Closed Won,3,6,6,4150,1,1,0,Unknown,0,1,0,1
61,1,1/1/2018,7003074,Exterior Accessories,Car Accessories,Northwest,Reseller,65,Closed Lost,3,20,20,3614,2,2,0,Unknown,0.533333,0.466667,0,1
61,1,1/1/2018,8211684,Performance Parts,Performance & Non-auto,Southwest,Fields Sales,18,Closed Won,2,22,22,25000,1,1,0,Known,0,0,1,3
61,1,1/1/2018,7637370,Batteries & Accessories,Car Accessories,Southwest,Reseller,47,Closed Won,3,13,13,10000,1,1,3,None,0.008,0.992,0,2
69,1,1/1/2018,9682790,Batteries & Accessories,Car Accessories,Southwest,Fields Sales,1,Closed Won,2,14,14,4333,1,1,0,Unknown,0,1,0,1
69,1,1/1/2018,7024201,Performance Parts,Performance & Non-auto,Southwest,Reseller,64,Closed Won,3,19,19,29931,4,2,0,Unknown,0,0.015625,0.984375,3
70,1,1/1/2018,7646737,Interior Accessories,Car Accessories,Pacific,Telecoverage,53,Closed Lost,2,6,6,250000,1,1,2,Unknown,1,0,0,6
70,1,1/1/2018,9701494,Motorcycle Parts,Performance & Non-auto,Southeast,Reseller,4,Closed Won,2,10,10,60000,1,1,0,Unknown,0,1,0,4
71,1,1/1/2018,8167809,Interior Accessories,Car Accessories,Pacific,Fields Sales,34,Closed Lost,2,7,7,120000,1,1,0,None,0,1,0,5
73,1,1/1/2018,6698035,Exterior Accessories,Car Accessories,Northwest,Reseller,75,Closed Lost,2,21,21,3614,1,1,0,Unknown,0,1,0,1
73,1,1/1/2018,7860319,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,46,Closed Lost,2,5,5,12269,1,1,0,Unknown,0,1,0,2
76,1,1/1/2018,6782665,Replacement Parts,Car Accessories,Northeast,Fields Sales,74,Closed Won,3,6,6,15000,1,5,2,Unknown,0,0,1,2
78,1,1/1/2018,6296247,Exterior Accessories,Car Accessories,Midwest,Fields Sales,91,Closed Won,4,8,8,41822,1,4,0,Known,0,0.071429,0.928571,3
79,1,1/1/2018,8459528,Exterior Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Closed Won,3,6,0,60000,1,1,3,Unknown,0,0.017857,0,4
80,1,1/1/2018,9395010,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,0,Closed Won,4,25,20,136000,1,1,1,Unknown,0,0.559184,0.257143,5
81,1,1/1/2018,7738089,Exterior Accessories,Car Accessories,Northeast,Reseller,45,Closed Lost,2,11,11,20000,1,1,0,Unknown,1,0,0,2
81,1,1/1/2018,6619940,Shelters & RV,Performance & Non-auto,Southeast,Fields Sales,55,Closed Lost,9,32,13,40240,5,1,0,None,0.301242,0.10559,0,3
81,1,1/1/2018,9429284,Shelters & RV,Performance & Non-auto,Northeast,Fields Sales,17,Closed Won,3,6,6,80000,1,1,2,None,0,0.047619,0.952381,4
82,1,1/1/2018,6239749,Garage & Car Care,Car Accessories,Northwest,Reseller,76,Closed Lost,5,38,38,33502,1,2,2,Unknown,0,0.002625,0.997375,3
82,1,1/1/2018,6732428,Shelters & RV,Performance & Non-auto,Southwest,Fields Sales,90,Closed Lost,2,4,4,20000,5,1,0,Unknown,0,1,0,2
82,1,1/1/2018,8292080,Exterior Accessories,Car Accessories,Midwest,Fields Sales,16,Closed Lost,2,20,20,1000000,1,1,0,Unknown,0,0,1,7
82,1,1/1/2018,7123265,Garage & Car Care,Car Accessories,Pacific,Reseller,74,Closed Won,3,6,6,14000,3,3,0,Unknown,0,0.118644,0.881356,2
85,1,1/1/2018,6788608,Shelters & RV,Performance & Non-auto,Northeast,Fields Sales,55,Closed Lost,2,37,37,150000,2,1,0,Unknown,1,0,0,5
86,1,1/1/2018,9370322,Garage & Car Care,Car Accessories,Midwest,Reseller,7,Closed Lost,3,19,19,22500,1,1,0,Unknown,0,1,0,2
87,1,1/1/2018,7998227,Exterior Accessories,Car Accessories,Mid-Atlantic,Reseller,18,Closed Lost,3,28,28,20000,1,1,3,Unknown,0,0.279152,0.720848,2
88,1,1/1/2018,8371683,Batteries & Accessories,Car Accessories,Northeast,Reseller,26,Closed Lost,3,3,3,55000,1,1,0,None,0,1,0,4
88,1,1/1/2018,6776068,Motorcycle Parts,Performance & Non-auto,Northwest,Fields Sales,91,Closed Won,2,2,2,1500,1,3,0,Known,0,0,1,1
89,1,1/1/2018,9601243,Performance Parts,Performance & Non-auto,Pacific,Fields Sales,4,Closed Won,3,5,0,270000,1,1,0,Unknown,0,0,0,6
89,1,1/1/2018,6169976,Garage & Car Care,Car Accessories,Southeast,Reseller,23,Closed Won,4,2,2,25000,5,4,1,Unknown,0,1,0,3
90,1,1/1/2018,9447685,Shelters & RV,Performance & Non-auto,Midwest,Reseller,17,Closed Won,2,0,0,18730,1,1,0,Unknown,0,0,0,2
92,1,1/1/2018,7102406,Exterior Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Closed Lost,8,36,36,15000,1,1,0,Known,0,0.072222,0.927778,2
92,1,1/1/2018,7814750,Shelters & RV,Performance & Non-auto,Mid-Atlantic,Reseller,13,Closed Won,7,7,7,60000,1,1,3,Known,0,0.630769,0.369231,4
93,1,1/1/2018,8462959,Motorcycle Parts,Performance & Non-auto,Northeast,Fields Sales,18,Closed Won,2,12,12,2500,1,1,2,Unknown,0,1,0,1
95,1,1/1/2018,6943365,Motorcycle Parts,Performance & Non-auto,Northwest,Fields Sales,19,Closed Lost,5,67,67,150000,5,2,0,Known,0.313988,0.19494,0.491071,5
95,1,1/1/2018,6701139,Batteries & Accessories,Car Accessories,Southwest,Reseller,74,Closed Won,5,22,21,75000,5,1,0,Unknown,0,0.046296,0.907407,4
97,1,1/1/2018,9718894,Performance Parts,Performance & Non-auto,Midwest,Telesales,3,Closed Lost,2,10,10,20000,1,1,0,Unknown,1,0,0,2
99,1,1/1/2018,7204852,Garage & Car Care,Car Accessories,Midwest,Reseller,54,Closed Lost,2,22,22,170000,1,1,0,Unknown,0,1,0,5
99,1,1/1/2018,9722141,Exterior Accessories,Car Accessories,Mid-Atlantic,Reseller,2,Closed Won,2,12,12,20000,1,1,3,Unknown,0,1,0,2
100,1,1/1/2018,7821176,Shelters & RV,Performance & Non-auto,Northeast,Fields Sales,5,Closed Lost,5,47,47,500000,1,1,0,Known,0.191489,0.808511,0,7
102,1,1/1/2018,7953358,Exterior Accessories,Car Accessories,Pacific,Reseller,16,Closed Lost,4,32,32,155014,1,1,0,Unknown,0,1,0,5
104,1,1/1/2018,7812028,Motorcycle Parts,Performance & Non-auto,Southwest,Reseller,28,Closed Lost,6,24,24,20000,1,1,0,Unknown,0,0.648536,0.351464,2
104,1,1/1/2018,5075968,Performance Parts,Performance & Non-auto,Midwest,Reseller,24,Closed Won,6,43,43,62325,5,5,4,Unknown,0.098361,0.871194,0.030445,4
106,1,1/1/2018,7220059,Garage & Car Care,Car Accessories,Northeast,Reseller,49,Closed Lost,2,27,27,9432,1,2,0,Unknown,0,1,0,1
107,1,1/1/2018,7820597,Replacement Parts,Car Accessories,Midwest,Fields Sales,47,Closed Won,5,5,5,40000,1,1,3,Unknown,0.204082,0.265306,0.530612,3
108,1,1/1/2018,6803498,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,91,Closed Won,1,0,0,27902,1,1,0,Unknown,0,0,0,3
109,1,1/1/2018,8139368,Exterior Accessories,Car Accessories,Southwest,Reseller,18,Closed Won,3,24,24,30000,1,1,0,Unknown,0,0.004237,0.995763,3
109,1,1/1/2018,7670810,Exterior Accessories,Car Accessories,Midwest,Fields Sales,51,Closed Won,3,3,3,56149,1,1,1,Unknown,0,1,0,4
110,1,1/1/2018,6965765,Exterior Accessories,Car Accessories,Midwest,Fields Sales,67,Closed Won,3,18,18,458469,3,3,0,None,0,0.79661,0.20339,6
110,1,1/1/2018,9667869,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,12,Closed Won,2,3,3,1212,1,1,0,Unknown,1,0,0,1
111,1,1/1/2018,9462826,Shelters & RV,Performance & Non-auto,Southwest,Fields Sales,18,Closed Lost,2,5,5,90000,1,1,0,Unknown,1,0,0,4
113,1,1/1/2018,7466467,Towing & Hitches,Car Accessories,Midwest,Fields Sales,48,Closed Lost,3,18,18,116600,1,1,0,Known,0.828729,0.171271,0,5
114,1,1/1/2018,7893581,Towing & Hitches,Car Accessories,Northeast,Fields Sales,26,Closed Lost,2,23,23,50000,1,1,0,Unknown,0,1,0,4
115,1,1/1/2018,7791184,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,48,Closed Lost,3,5,5,15501,1,1,0,Unknown,0,0.022222,0.977778,2
116,1,1/1/2018,8473301,Shelters & RV,Performance & Non-auto,Southwest,Fields Sales,20,Closed Lost,6,7,7,0,1,1,0,Unknown,0,0.763889,0.236111,1
116,1,1/1/2018,8515424,Towing & Hitches,Car Accessories,Pacific,Telesales,23,Closed Lost,2,5,5,20000,1,1,0,Unknown,0,1,0,2
124,1,1/1/2018,9635811,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,16,Closed Won,1,0,0,1864,1,1,0,Unknown,0,0,0,1
125,1,1/1/2018,7979231,Exterior Accessories,Car Accessories,Pacific,Reseller,47,Closed Lost,2,0,0,744070,1,1,0,Unknown,0,0,0,7
127,1,1/1/2018,9518451,Towing & Hitches,Car Accessories,Southwest,Fields Sales,14,Closed Lost,2,6,6,20000,1,1,0,Unknown,0,0,1,2
127,1,1/1/2018,6828395,Exterior Accessories,Car Accessories,Northwest,Fields Sales,68,Closed Won,4,6,6,2000,2,3,0,None,0.274194,0,0.725806,1
127,1,1/1/2018,7373799,Replacement Parts,Car Accessories,Pacific,Reseller,61,Closed Won,2,9,9,17051,1,1,0,Unknown,0,1,0,2
128,1,1/1/2018,6961413,Garage & Car Care,Car Accessories,Pacific,Reseller,64,Closed Won,6,10,10,15501,2,1,2,Known,0,0.115385,0.826923,2
129,1,1/1/2018,9391083,Garage & Car Care,Car Accessories,Midwest,Reseller,23,Closed Won,2,2,2,5133,1,1,0,Unknown,0,1,0,1
130,1,1/1/2018,9522057,Exterior Accessories,Car Accessories,Northeast,Fields Sales,9,Closed Lost,2,11,11,100000,1,1,0,Unknown,1,0,0,5
130,1,1/1/2018,6376229,Shelters & RV,Performance & Non-auto,Southeast,Reseller,78,Closed Lost,2,30,30,50000,1,1,0,Unknown,0,1,0,4
130,1,1/1/2018,6999190,Shelters & RV,Performance & Non-auto,Midwest,Reseller,81,Closed Won,2,3,3,17000,2,1,0,Unknown,0,1,0,2
130,1,1/1/2018,6096121,Batteries & Accessories,Car Accessories,Pacific,Reseller,23,Closed Won,2,0,0,38753,1,1,2,Unknown,0,0,0,3
133,1,1/1/2018,8274764,Batteries & Accessories,Car Accessories,Southwest,Fields Sales,7,Closed Lost,2,30,30,25000,1,1,0,Unknown,1,0,0,3
134,1,1/1/2018,9429501,Performance Parts,Performance & Non-auto,Northwest,Fields Sales,20,Closed Won,3,3,0,5000,1,1,0,Unknown,0,0,0,1
135,1,1/1/2018,8026112,Batteries & Accessories,Car Accessories,Northwest,Fields Sales,29,Closed Lost,3,16,16,180722,1,1,0,Unknown,0,1,0,5
135,1,1/1/2018,6406619,Batteries & Accessories,Car Accessories,Southwest,Fields Sales,89,Closed Lost,2,18,18,26825,1,1,0,Unknown,0,1,0,3
135,1,1/1/2018,5984150,Batteries & Accessories,Car Accessories,Northeast,Fields Sales,46,Closed Lost,9,72,72,460000,4,1,0,None,0.058091,0.650069,0.29184,6
135,1,1/1/2018,6848782,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,43,Closed Won,3,1,1,34395,4,4,0,Unknown,0,1,0,3
135,1,1/1/2018,6538209,Replacement Parts,Car Accessories,Southwest,Fields Sales,42,Closed Won,5,17,15,120000,1,1,0,Unknown,0,0.890909,0.018182,5
136,1,1/1/2018,7992630,Batteries & Accessories,Car Accessories,Pacific,Fields Sales,27,Closed Lost,3,19,19,100000,1,1,3,Unknown,0.880829,0,0.119171,5
136,1,1/1/2018,7553335,Batteries & Accessories,Car Accessories,Northwest,Reseller,47,Closed Lost,4,15,15,10000,1,1,0,None,0,0.777778,0.222222,2
137,1,1/1/2018,7637556,Replacement Parts,Car Accessories,Southeast,Fields Sales,49,Closed Lost,2,11,11,15000,1,1,0,Known,0,1,0,2
138,1,1/1/2018,7360583,Motorcycle Parts,Performance & Non-auto,Southeast,Reseller,61,Closed Won,2,9,9,31490,1,1,0,Unknown,0,1,0,3
139,1,1/1/2018,8305918,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,21,Closed Lost,4,15,15,70000,1,1,2,Unknown,0.233766,0.766234,0,4
140,1,1/1/2018,7482511,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,53,Closed Won,3,12,12,104001,1,1,0,Known,0,0.943089,0.056911,5
141,1,1/1/2018,9743892,Garage & Car Care,Car Accessories,Midwest,Reseller,9,Closed Won,2,4,4,7361,1,1,0,Unknown,0,1,0,1
143,1,1/1/2018,6511195,Garage & Car Care,Car Accessories,Midwest,Reseller,63,Closed Lost,2,40,40,5800,4,2,0,Unknown,0,1,0,1
143,1,1/1/2018,8457888,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,7,Closed Lost,3,23,23,50000,1,1,0,None,0,1,0,4
145,1,1/1/2018,7199179,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,74,Closed Lost,2,3,3,10000,1,3,0,Unknown,0,1,0,2
146,1,1/1/2018,7795160,Batteries & Accessories,Car Accessories,Midwest,Reseller,48,Closed Won,4,2,2,255255,1,1,0,Unknown,0,0,1,6
149,1,1/1/2018,7003610,Exterior Accessories,Car Accessories,Pacific,Reseller,74,Closed Lost,3,10,10,31002,1,5,0,None,0,0.932039,0.067961,3
151,1,1/1/2018,7384536,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,7,Closed Lost,3,62,62,150000,4,3,0,Unknown,0.029032,0.970968,0,5
153,1,1/1/2018,8161961,Garage & Car Care,Car Accessories,Northwest,Fields Sales,18,Closed Lost,2,23,23,500046,1,1,0,Unknown,1,0,0,7
153,1,1/1/2018,5619771,Exterior Accessories,Car Accessories,Northeast,Reseller,41,Closed Won,9,42,42,23835,1,1,2,Unknown,0,0.266827,0.733173,2
154,1,1/1/2018,8322403,Garage & Car Care,Car Accessories,Midwest,Reseller,33,Closed Lost,2,2,2,10000,1,1,0,Known,0,1,0,2
154,1,1/1/2018,8149161,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,21,Closed Lost,2,20,20,23312,1,1,0,Unknown,0,1,0,2
156,1,1/1/2018,8261314,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,3,Closed Won,7,35,33,22797,1,1,0,None,0,0.498551,0.452174,2
156,1,1/1/2018,6389764,Exterior Accessories,Car Accessories,Midwest,Reseller,24,Closed Won,2,0,0,15000,1,5,0,Unknown,0,0,0,2
156,1,1/1/2018,9707290,Exterior Accessories,Car Accessories,Northwest,Reseller,8,Closed Won,3,6,0,250000,1,1,0,Unknown,0,0.017857,0,6
159,1,1/1/2018,6051663,Motorcycle Parts,Performance & Non-auto,Southeast,Fields Sales,62,Closed Lost,8,60,60,40000,1,1,0,Known,0.153333,0.846667,0,3
160,1,1/1/2018,6875093,Motorcycle Parts,Performance & Non-auto,Southeast,Fields Sales,44,Closed Lost,2,44,44,50000,1,1,0,Unknown,0,1,0,4
160,1,1/1/2018,6919655,Shelters & RV,Performance & Non-auto,Pacific,Fields Sales,20,Closed Won,3,6,6,38000,3,3,1,Unknown,0,0,1,3
161,1,1/1/2018,7576512,Exterior Accessories,Car Accessories,Pacific,Reseller,44,Closed Lost,2,18,18,310029,1,1,0,Unknown,0,1,0,6
162,1,1/1/2018,7148322,Interior Accessories,Car Accessories,Northwest,Fields Sales,75,Closed Won,3,3,2,59706,1,4,0,None,0,0,0.65625,4
